,Unnamed: 0,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
0,1,Mattia Destro,"€ 71,154","€ 3,700,000","€ 3,769,330",F,28,Italy,Bologna,Serie A,2019-2020
1,2,Nicolás Domínguez,"€ 62,500","€ 3,250,000","€ 3,310,898",M,21,Argentina,Bologna,Serie A,2019-2020
2,3,Blerim Dzemaili,"€ 42,692","€ 2,220,000","€ 2,261,598",M,33,Switzerland,Bologna,Serie A,2019-2020
3,4,Gary Medel,"€ 36,923","€ 1,920,000","€ 1,955,977",M,32,Chile,Bologna,Serie A,2019-2020
4,5,Nicola Sansone,"€ 36,923","€ 1,920,000","€ 1,955,977",F,28,Italy,Bologna,Serie A,2019-2020
5,6,Roberto Soriano,"€ 36,923","€ 1,920,000","€ 1,955,977",M,28,Italy,Bologna,Serie A,2019-2020
6,7,Andrea Poli,"€ 35,577","€ 1,850,000","€ 1,884,665",M,29,Italy,Bologna,Serie A,2019-2020
7,8,Federico Santander,"€ 35,577","€ 1,850,000","€ 1,884,665",F,28,Paraguay,Bologna,Serie A,2019-2020
8,9,Riccardo Orsolini,"€ 35,577","€ 1,850,000","€ 1,884,665",F,22,Italy,Bologna,Serie A,2019-2020
9,10,Rodrigo Palacio,"€ 35,577","€ 1,850,000","€ 1,884,665",F,37,Argentina,Bologna,Serie A,2019-2020
10,11,Lukasz Skorupski,"€ 32,115","€ 1,670,000","€ 1,701,292",K,28,Poland,Bologna,Serie A,2019-2020
11,12,Mitchell Dijks,"€ 28,462","€ 1,480,000","€ 1,507,732",D,26,Netherlands,Bologna,Serie A,2019-2020
12,13,Ibrahima Mbaye,"€ 26,731","€ 1,390,000","€ 1,416,046",D,24,Senegal,Bologna,Serie A,2019-2020
13,14,Andreas Skov Olsen,"€ 19,808","€ 1,030,000","€ 1,049,300",F,19,Denmark,Bologna,Serie A,2019-2020
