,Unnamed: 0,Player,Gross P/W(IN GBP),Gross P/Y(IN GBP),Adj. Gross(IN GBP),Pos. DFKM,Age,Country,Team,League,Season
18,19,Tammy Abraham,"£ 57,692","£ 3,000,000","£ 3,075,551",F,22,England,Chelsea,Premier League,2019-2020
19,20,Pedro,"£ 57,692","£ 3,000,000","£ 3,075,551",F,32,Spain,Chelsea,Premier League,2019-2020
20,21,Marco van Ginkel,"£ 52,885","£ 2,750,000","£ 2,819,255",M,27,Netherlands,Chelsea,Premier League,2019-2020
21,22,Lewis Baker,"£ 43,269","£ 2,250,000","£ 2,306,663",M,24,England,Chelsea,Premier League,2019-2020
22,23,Kurt Zouma,"£ 40,000","£ 2,080,000","£ 2,132,382",D,25,France,Chelsea,Premier League,2019-2020
23,24,Willy Caballero,"£ 35,000","£ 1,820,000","£ 1,865,834",K,38,Argentina,Chelsea,Premier League,2019-2020
24,25,Michael Hector,"£ 16,923","£ 880,000","£ 902,162",D,27,Jamaica,Chelsea,Premier League,2019-2020
25,26,Fikayo Tomori,"£ 14,423","£ 750,000","£ 768,888",D,22,England,Chelsea,Premier League,2019-2020
26,27,Danilo Pantic,"£ 10,000","£ 520,000","£ 533,096",M,23,Serbia,Chelsea,Premier League,2019-2020
27,28,Jamie Cumming,"£ 2,115","£ 110,000","£ 112,770",K,20,England,Chelsea,Premier League,2019-2020
0,1,Wilfried Zaha,"£ 130,000","£ 6,760,000","£ 6,930,242",F,27,Cote d'Ivoire,Crystal Palace,Premier League,2019-2020
1,2,Max Meyer,"£ 125,000","£ 6,500,000","£ 6,663,694",F,24,Germany,Crystal Palace,Premier League,2019-2020
2,3,Christian Benteke,"£ 120,000","£ 6,240,000","£ 6,397,146",F,29,Belgium,Crystal Palace,Premier League,2019-2020
3,4,Mamadou Sakho,"£ 100,000","£ 5,200,000","£ 5,330,955",D,29,France,Crystal Palace,Premier League,2019-2020
4,5,Luka Milivojevic,"£ 75,000","£ 3,900,000","£ 3,998,216",M,28,Serbia,Crystal Palace,Premier League,2019-2020
5,6,Gary Cahill,"£ 65,000","£ 3,380,000","£ 3,465,121",D,34,England,Crystal Palace,Premier League,2019-2020
6,7,Cheikhou Kouyaté,"£ 65,000","£ 3,380,000","£ 3,465,121",M,30,Senegal,Crystal Palace,Premier League,2019-2020
7,8,Vicente Guaita,"£ 60,000","£ 3,120,000","£ 3,198,573",K,33,Spain,Crystal Palace,Premier League,2019-2020
8,9,Cenk Tosun,"£ 60,000","£ 3,120,000","£ 3,198,573",F,28,Turkey,Crystal Palace,Premier League,2019-2020
9,10,Scott Dann,"£ 60,000","£ 3,120,000","£ 3,198,573",D,32,England,Crystal Palace,Premier League,2019-2020
10,11,Connor Wickham,"£ 60,000","£ 3,120,000","£ 3,198,573",F,26,England,Crystal Palace,Premier League,2019-2020
11,12,Andros Townsend,"£ 55,000","£ 2,860,000","£ 2,932,025",F,28,England,Crystal Palace,Premier League,2019-2020
12,13,James McArthur,"£ 55,000","£ 2,860,000","£ 2,932,025",M,32,Scotland,Crystal Palace,Premier League,2019-2020
13,14,Patrick van Aanholt,"£ 55,000","£ 2,860,000","£ 2,932,025",D,29,Netherlands,Crystal Palace,Premier League,2019-2020
14,15,James McCarthy,"£ 50,000","£ 2,600,000","£ 2,665,478",M,29,Ireland,Crystal Palace,Premier League,2019-2020
15,16,Jeffrey Schlupp,"£ 50,000","£ 2,600,000","£ 2,665,478",M,27,Ghana,Crystal Palace,Premier League,2019-2020
16,17,James Tomkins,"£ 50,000","£ 2,600,000","£ 2,665,478",D,30,England,Crystal Palace,Premier League,2019-2020
17,18,Wayne Hennessey,"£ 40,000","£ 2,080,000","£ 2,132,382",K,33,Wales,Crystal Palace,Premier League,2019-2020
18,19,Jairo Riedewald,"£ 40,000","£ 2,080,000","£ 2,132,382",D,23,Netherlands,Crystal Palace,Premier League,2019-2020
19,20,Jordan Ayew,"£ 35,000","£ 1,820,000","£ 1,865,834",F,28,Ghana,Crystal Palace,Premier League,2019-2020
20,21,Joel Ward,"£ 35,000","£ 1,820,000","£ 1,865,834",D,30,England,Crystal Palace,Premier League,2019-2020
21,22,Martin Kelly,"£ 25,000","£ 1,300,000","£ 1,332,739",D,29,England,Crystal Palace,Premier League,2019-2020
22,23,Víctor Camarasa,"£ 12,692","£ 660,000","£ 676,621",M,25,Spain,Crystal Palace,Premier League,2019-2020
23,24,Stephen Henderson,"£ 6,923","£ 360,000","£ 369,066",K,31,Ireland,Crystal Palace,Premier League,2019-2020
24,25,Dion Henry,£ 577,"£ 30,000","£ 30,756",K,21,England,Crystal Palace,Premier League,2019-2020
0,1,Alex Iwobi,"£ 120,000","£ 6,240,000","£ 6,397,146",F,23,Nigeria,Everton,Premier League,2019-2020
1,2,Bernard,"£ 120,000","£ 6,240,000","£ 6,397,146",F,27,Brazil,Everton,Premier League,2019-2020
2,3,Yerry Mina,"£ 120,000","£ 6,240,000","£ 6,397,146",D,25,Colombia,Everton,Premier League,2019-2020
3,4,André Gomes,"£ 112,308","£ 5,840,000","£ 5,987,073",M,26,Portugal,Everton,Premier League,2019-2020
4,5,Gylfi Sigurdsson,"£ 100,000","£ 5,200,000","£ 5,330,955",F,30,Iceland,Everton,Premier League,2019-2020
5,6,Theo Walcott,"£ 100,000","£ 5,200,000","£ 5,330,955",F,30,England,Everton,Premier League,2019-2020
6,7,Morgan Schneiderlin,"£ 100,000","£ 5,200,000","£ 5,330,955",M,30,France,Everton,Premier League,2019-2020
7,8,Dominic Calvert-Lewin,"£ 100,000","£ 5,200,000","£ 5,330,955",F,22,England,Everton,Premier League,2019-2020
8,9,Jordan Pickford,"£ 100,000","£ 5,200,000","£ 5,330,955",K,25,England,Everton,Premier League,2019-2020
9,10,Richarlison,"£ 90,000","£ 4,680,000","£ 4,797,860",F,22,Brazil,Everton,Premier League,2019-2020
10,11,Lucas Digne,"£ 90,000","£ 4,680,000","£ 4,797,860",D,26,France,Everton,Premier League,2019-2020
11,12,Fabian Delph,"£ 80,000","£ 4,160,000","£ 4,264,764",M,30,England,Everton,Premier League,2019-2020
12,13,Jean-Philippe Gbamin,"£ 75,000","£ 3,900,000","£ 3,998,216",M,24,Cote d'Ivoire,Everton,Premier League,2019-2020
13,14,Seamus Coleman,"£ 70,000","£ 3,640,000","£ 3,731,669",D,31,Ireland,Everton,Premier League,2019-2020
14,15,Leighton Baines,"£ 65,000","£ 3,380,000","£ 3,465,121",D,35,England,Everton,Premier League,2019-2020
15,16,Cenk Tosun,"£ 60,000","£ 3,120,000","£ 3,198,573",F,28,Turkey,Everton,Premier League,2019-2020
16,17,Michael Keane,"£ 60,000","£ 3,120,000","£ 3,198,573",D,27,England,Everton,Premier League,2019-2020
17,18,Oumar Niasse,"£ 55,000","£ 2,860,000","£ 2,932,025",F,29,Senegal,Everton,Premier League,2019-2020
18,19,Moise Kean,"£ 53,077","£ 2,760,000","£ 2,829,507",F,19,Italy,Everton,Premier League,2019-2020
19,20,Cuco Martina,"£ 35,000","£ 1,820,000","£ 1,865,834",D,30,Curacao,Everton,Premier League,2019-2020
20,21,Maarten Stekelenburg,"£ 32,500","£ 1,690,000","£ 1,732,560",K,37,Netherlands,Everton,Premier League,2019-2020
21,22,Jonas Lössl,"£ 28,077","£ 1,460,000","£ 1,496,768",K,30,Denmark,Everton,Premier League,2019-2020
22,23,Tom Davies,"£ 25,000","£ 1,300,000","£ 1,332,739",M,21,England,Everton,Premier League,2019-2020
23,24,Mason Holgate,"£ 25,000","£ 1,300,000","£ 1,332,739",D,23,England,Everton,Premier League,2019-2020
24,25,Djibril Sidibé,"£ 11,923","£ 620,000","£ 635,614",D,27,France,Everton,Premier League,2019-2020
