,nationality,position,age,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_assist,npxg_xg_assist,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,player
539,ar ARG,DF,28,14,10,983,10.9,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.00,0.00,0.00,0.00,0.00,Mauro dos Santos
540,es ESP,DF,32,9,6,610,6.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Tito
541,es ESP,"MF,FW",23,16,6,562,6.2,1,0,1,0,0,2,0,0.16,0.00,0.16,0.16,0.16,0.7,0.7,0.4,1.1,0.11,0.06,0.17,0.11,0.17,Naranjo
542,es ESP,MF,26,6,2,228,2.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Erik Morán
543,ar ARG,GK,32,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Nereo Champagne
544,es ESP,GK,27,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Jon Ander Serantes
545,es ESP,MF,22,1,0,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Alejandro Gutiérrez Mozo
546,es ESP,"FW,MF",19,2,0,28,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Jaime Sierra Mateos
547,es ESP,DF,21,1,0,23,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,Sergio Segura García
548,es ESP,FW,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,Gabri
549,ci CIV,FW,25,0,0,,,,,,,,,,,,,,,,,,,,,,,,Mamadou Koné
550,pt POR,FW,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,Leonardo Rocha
551,br BRA,FW,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,William
552,rs SRB,GK,25,36,36,"3,240",36.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Marko Dmitrović
553,es ESP,MF,27,32,32,"2,775",30.8,0,1,0,0,0,14,0,0.00,0.03,0.03,0.00,0.03,0.5,0.5,1.1,1.6,0.02,0.04,0.05,0.02,0.05,Dani García
554,jp JPN,"MF,FW",29,34,31,"2,631",29.2,5,2,5,0,0,4,0,0.17,0.07,0.24,0.17,0.24,4.6,4.6,1.9,6.5,0.16,0.06,0.22,0.16,0.22,Takashi Inui
555,es ESP,FW,27,35,28,"2,460",27.3,8,1,8,0,0,5,0,0.29,0.04,0.33,0.29,0.33,9.4,9.4,0.6,10.0,0.34,0.02,0.36,0.34,0.36,Kike
556,es ESP,DF,27,30,28,"2,426",27.0,0,8,0,0,0,4,0,0.00,0.30,0.30,0.00,0.30,0.5,0.5,4.1,4.6,0.02,0.15,0.17,0.02,0.17,José Ángel
557,es ESP,DF,30,29,26,"2,414",26.8,2,1,2,0,0,8,0,0.07,0.04,0.11,0.07,0.11,0.8,0.8,0.4,1.2,0.03,0.01,0.04,0.03,0.04,Anaitz Arbilla
558,es ESP,MF,23,35,25,"2,427",27.0,6,4,5,1,2,2,1,0.22,0.15,0.37,0.19,0.33,4.1,2.6,3.1,5.7,0.15,0.12,0.27,0.10,0.21,Joan Jordán
559,es ESP,DF,25,33,25,"2,249",25.0,0,1,0,0,0,4,0,0.00,0.04,0.04,0.00,0.04,0.2,0.2,1.5,1.8,0.01,0.06,0.07,0.01,0.07,Ander Capa
560,pt POR,DF,25,26,25,"2,214",24.6,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,1.1,1.1,0.3,1.4,0.04,0.01,0.06,0.04,0.06,Paulo Oliveira
561,es ESP,"DF,MF",26,28,18,"1,732",19.2,1,0,1,0,0,1,0,0.05,0.00,0.05,0.05,0.05,0.5,0.5,1.0,1.5,0.03,0.05,0.08,0.03,0.08,Rubén Peña
562,br BRA,FW,33,30,18,"1,582",17.6,8,1,7,1,1,5,1,0.46,0.06,0.51,0.40,0.46,8.1,7.3,1.7,9.0,0.46,0.09,0.56,0.42,0.51,Charles
563,ar ARG,MF,24,28,16,"1,565",17.4,1,0,1,0,0,3,0,0.06,0.00,0.06,0.06,0.06,1.3,1.3,1.0,2.3,0.07,0.06,0.13,0.07,0.13,Gonzalo Escalante
564,es ESP,DF,32,16,15,"1,302",14.5,3,0,3,0,0,4,0,0.21,0.00,0.21,0.21,0.21,0.9,0.9,0.0,1.0,0.06,0.00,0.07,0.06,0.07,Iván Ramis
565,es ESP,FW,27,19,14,"1,330",14.8,3,1,3,0,0,2,0,0.20,0.07,0.27,0.20,0.27,3.1,3.1,1.7,4.7,0.21,0.11,0.32,0.21,0.32,Sergi Enrich
566,es ESP,"MF,FW",22,22,14,"1,102",12.2,1,3,1,0,0,5,0,0.08,0.25,0.33,0.08,0.33,0.5,0.5,2.1,2.6,0.04,0.17,0.21,0.04,0.21,Iván Alejo
567,cl CHI,"MF,FW",31,17,13,"1,180",13.1,3,2,3,0,0,5,1,0.23,0.15,0.38,0.23,0.38,2.9,2.9,3.8,6.7,0.22,0.29,0.51,0.22,0.51,Fabián Orellana
568,sn SEN,MF,31,15,12,940,10.4,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.2,1.2,0.09,0.02,0.11,0.09,0.11,Papakouli Diop
569,es ESP,DF,30,13,11,994,11.0,1,0,1,0,0,3,0,0.09,0.00,0.09,0.09,0.09,0.2,0.2,0.0,0.3,0.02,0.00,0.03,0.02,0.03,David Lombán
570,es ESP,"FW,MF",30,12,10,929,10.3,0,3,0,0,0,1,0,0.00,0.29,0.29,0.00,0.29,1.2,1.2,2.1,3.3,0.12,0.20,0.32,0.12,0.32,Pedro León
571,es ESP,DF,23,15,10,901,10.0,0,2,0,0,0,3,0,0.00,0.20,0.20,0.00,0.20,0.1,0.1,1.6,1.7,0.01,0.16,0.17,0.01,0.17,David Juncà
572,es ESP,DF,28,4,4,360,4.0,1,0,1,0,0,1,0,0.25,0.00,0.25,0.25,0.25,0.1,0.1,0.0,0.2,0.03,0.01,0.04,0.03,0.04,Álex Gálvez
573,cv CPV,"MF,FW",27,9,3,365,4.1,0,1,0,0,0,0,0,0.00,0.25,0.25,0.00,0.25,0.3,0.3,1.7,2.0,0.07,0.42,0.49,0.07,0.49,Bebé
574,es ESP,MF,20,7,2,246,2.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.01,0.02,0.03,0.01,0.03,Cristian Rivera
575,es ESP,GK,33,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Asier Riesgo
576,es ESP,GK,28,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Yoel
577,es ESP,"MF,FW",22,3,0,41,0.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Imanol Sarriegi
