,nationality,position,age,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_assist,npxg_xg_assist,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,player
542,ie IRL,MF,27,13,11,960,10.7,1,0,1,0,0,4,0,0.09,0.00,0.09,0.09,0.09,0.3,0.3,0.2,0.5,0.03,0.02,0.05,0.03,0.05,Harry Arter
543,cd COD,FW,24,17,5,611,6.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.6,1.6,0.1,1.8,0.27,0.02,0.30,0.27,0.30,Benik Afobe
544,fr FRA,"FW,MF",21,23,4,596,6.6,2,0,2,0,0,1,0,0.30,0.00,0.30,0.30,0.30,1.2,1.2,0.8,2.1,0.18,0.13,0.31,0.18,0.31,Lys Mousset
545,eng ENG,DF,24,4,3,201,2.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.01,0.02,0.03,0.01,0.03,Tyrone Mings
546,eng ENG,DF,20,1,1,71,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Jack Simpson
547,us USA,MF,21,1,1,58,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.02,0.02,0.00,0.02,Emerson Hyndman
548,pl POL,GK,37,0,0,,,,,,,,,,,,,,,,,,,,,,,,Artur Boruc
549,eng ENG,MF,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matt Butcher
550,eng ENG,"FW,MF",20,0,0,,,,,,,,,,,,,,,,,,,,,,,,Connor Mahoney
551,eng ENG,GK,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,Aaron Ramsdale
552,au AUS,"DF,MF",23,0,0,,,,,,,,,,,,,,,,,,,,,,,,Brad Smith
553,eng ENG,MF,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,Kyle Taylor
554,eng ENG,"FW,MF",26,36,35,"3,120",34.7,2,7,2,0,0,3,0,0.06,0.20,0.26,0.06,0.26,3.0,3.0,7.2,10.2,0.09,0.21,0.30,0.09,0.30,Andros Townsend
