,nationality,position,age,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_assist,npxg_xg_assist,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,player
515,tn TUN,"MF,FW",21,2,0,52,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Mohamed Dräger
516,tr TUR,FW,23,1,0,39,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.18,0.18,0.00,0.18,Onur Bulut
517,rs SRB,"DF,MF",26,0,0,,,,,,,,,,,,,,,,,,,,,,,,Aleksandar Ignjovski
518,de GER,"DF,MF",20,0,0,,,,,,,,,,,,,,,,,,,,,,,,Patrick Kammerbauer
519,de GER,GK,33,0,0,,,,,,,,,,,,,,,,,,,,,,,,Patric Klandt
520,ng NGA,DF,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,Chima Okoroji
521,de GER,DF,25,33,33,"2,970",33.0,0,7,0,0,0,6,0,0.00,0.21,0.21,0.00,0.21,1.0,1.0,3.8,4.8,0.03,0.11,0.14,0.03,0.14,Marvin Plattenhardt
522,no NOR,GK,32,31,31,"2,790",31.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.00,0.00,0.00,0.00,0.00,Rune Jarstein
523,ci CIV,"FW,MF",31,31,27,"2,207",24.5,12,3,11,1,2,0,0,0.49,0.12,0.61,0.45,0.57,9.2,7.6,2.3,9.9,0.37,0.09,0.47,0.31,0.40,Salomon Kalou
524,nl NED,DF,22,26,26,"2,302",25.6,2,2,2,0,0,4,0,0.08,0.08,0.16,0.08,0.16,0.5,0.5,0.6,1.1,0.02,0.02,0.04,0.02,0.04,Karim Rekik
525,de GER,"DF,MF",22,26,25,"2,210",24.6,1,1,1,0,0,2,0,0.04,0.04,0.08,0.04,0.08,1.1,1.1,0.7,1.8,0.04,0.03,0.07,0.04,0.07,Niklas Stark
526,no NOR,MF,30,28,24,"2,183",24.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.8,1.0,0.01,0.03,0.04,0.01,0.04,Per Ciljan Skjelbred
527,de GER,"DF,FW",23,24,23,"1,979",22.0,1,2,1,0,0,2,0,0.05,0.09,0.14,0.05,0.14,0.7,0.7,3.7,4.4,0.03,0.17,0.20,0.03,0.20,Mitchell Weiser
528,de GER,FW,22,27,19,"1,886",21.0,10,0,9,1,1,4,0,0.48,0.00,0.48,0.43,0.43,7.7,6.9,2.0,8.9,0.37,0.09,0.46,0.33,0.42,Davie Selke
529,at AUT,"MF,FW",21,26,19,"1,864",20.7,2,5,2,0,0,4,0,0.10,0.24,0.34,0.10,0.34,2.2,2.2,3.9,6.1,0.11,0.19,0.30,0.11,0.30,Valentino Lazaro
530,au AUS,"FW,MF",26,26,19,"1,853",20.6,5,1,5,0,0,3,0,0.24,0.05,0.29,0.24,0.29,2.0,2.0,1.6,3.5,0.10,0.08,0.17,0.10,0.17,Mathew Leckie
531,cz CZE,MF,26,21,18,"1,635",18.2,0,3,0,0,0,2,0,0.00,0.17,0.17,0.00,0.17,1.0,1.0,1.9,2.9,0.06,0.11,0.16,0.06,0.16,Vladimír Darida
532,ch SUI,"MF,DF",29,23,18,"1,583",17.6,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.7,0.8,0.01,0.04,0.04,0.01,0.04,Fabian Lustenberger
533,ba BIH,FW,32,27,18,"1,452",16.1,6,4,4,2,2,4,1,0.37,0.25,0.62,0.25,0.50,8.5,6.9,1.6,8.5,0.53,0.10,0.63,0.43,0.53,Vedad Ibišević
534,sk SVK,DF,30,17,17,"1,375",15.3,0,2,0,0,0,1,0,0.00,0.13,0.13,0.00,0.13,0.7,0.7,1.7,2.4,0.05,0.11,0.16,0.05,0.16,Peter Pekarík
535,de GER,MF,18,17,14,"1,223",13.6,0,1,0,0,0,1,0,0.00,0.07,0.07,0.00,0.07,1.0,1.0,1.2,2.2,0.07,0.09,0.16,0.07,0.16,Arne Maier
536,de GER,DF,29,12,11,955,10.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.4,0.03,0.00,0.03,0.03,0.03,Sebastian Langkamp
537,sk SVK,MF,22,17,9,744,8.3,1,0,1,0,0,3,0,0.12,0.00,0.12,0.12,0.12,1.1,1.1,0.3,1.4,0.13,0.04,0.17,0.13,0.17,Ondrej Duda
