,nationality,position,age,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_assist,npxg_xg_assist,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,player
480,dz ALG,DF,26,11,11,985,10.9,2,2,2,0,0,1,0,0.18,0.18,0.37,0.18,0.37,0.7,0.7,2.0,2.6,0.06,0.18,0.24,0.06,0.24,Faouzi Ghoulam
481,ro ROU,DF,27,7,7,582,6.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.04,0.00,0.04,0.04,0.04,Vlad Chiricheș
482,it ITA,DF,35,13,6,641,7.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.02,0.02,0.00,0.02,Christian Maggio
483,gn GUI,MF,20,18,5,655,7.3,1,0,1,0,0,1,0,0.14,0.00,0.14,0.14,0.14,0.2,0.2,0.2,0.4,0.02,0.03,0.05,0.02,0.05,Amadou Diawara
484,pl POL,"FW,MF",23,15,3,448,5.0,5,1,5,0,0,2,0,1.00,0.20,1.21,1.00,1.21,4.5,4.5,0.7,5.2,0.90,0.15,1.04,0.90,1.04,Arkadiusz Milik
485,it ITA,DF,27,4,3,351,3.9,1,0,1,0,0,0,0,0.26,0.00,0.26,0.26,0.26,0.2,0.2,0.0,0.2,0.05,0.00,0.05,0.05,0.05,Lorenzo Tonelli
486,rs SRB,DF,25,2,1,96,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Nikola Maksimović
487,it ITA,GK,26,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Luigi Sepe
488,hr CRO,"MF,FW",22,28,0,289,3.2,1,0,1,0,0,2,0,0.31,0.00,0.31,0.31,0.31,0.7,0.7,0.5,1.2,0.23,0.17,0.40,0.23,0.40,Marko Rog
489,dz ALG,FW,20,7,0,96,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.5,0.19,0.29,0.48,0.19,0.48,Adam Ounas
490,it ITA,"FW,MF",32,4,0,64,0.7,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.06,0.13,0.19,0.06,0.19,Emanuele Giaccherini
491,br BRA,GK,27,0,0,,,,,,,,,,,,,,,,,,,,,,,,Rafael Cabral
492,br BRA,MF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,Leandrinho
493,fr FRA,"FW,MF",21,0,0,,,,,,,,,,,,,,,,,,,,,,,,Zinédine Machach
494,hr CRO,"DF,FW",28,0,0,,,,,,,,,,,,,,,,,,,,,,,,Hrvoje Milić
495,gh GHA,DF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,Micheal Scarf
496,it ITA,DF,29,38,38,"3,420",38.0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.7,1.7,0.03,0.02,0.04,0.03,0.04,Francesco Acerbi
497,it ITA,GK,30,37,37,"3,316",36.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Andrea Consigli
498,it ITA,MF,31,35,33,"2,918",32.4,1,1,1,0,0,4,0,0.03,0.03,0.06,0.03,0.06,2.4,2.4,2.6,5.0,0.07,0.08,0.15,0.07,0.15,Simone Missiroli
499,it ITA,FW,23,36,33,"2,812",31.2,10,4,10,0,2,1,0,0.32,0.13,0.45,0.32,0.45,9.4,7.8,6.9,14.7,0.30,0.22,0.52,0.25,0.47,Matteo Politano
500,it ITA,MF,32,32,30,"2,494",27.7,0,0,0,0,0,11,4,0.00,0.00,0.00,0.00,0.00,0.4,0.3,1.8,2.1,0.01,0.06,0.08,0.01,0.08,Francesco Magnanelli
501,it ITA,FW,22,31,29,"2,296",25.5,4,2,2,2,4,8,1,0.16,0.08,0.24,0.08,0.16,8.9,5.8,3.7,9.5,0.35,0.15,0.50,0.23,0.37,Domenico Berardi
502,it ITA,DF,33,31,28,"2,594",28.8,1,1,1,0,0,10,0,0.03,0.03,0.07,0.03,0.07,1.0,0.9,0.9,1.8,0.04,0.03,0.07,0.03,0.06,Federico Peluso
503,gh GHA,MF,24,26,23,"1,947",21.6,0,2,0,0,0,4,0,0.00,0.09,0.09,0.00,0.09,2.0,2.0,2.4,4.4,0.09,0.11,0.20,0.09,0.20,Alfred Duncan
504,es ESP,"DF,FW",19,24,22,"2,025",22.5,0,2,0,0,0,2,0,0.00,0.09,0.09,0.00,0.09,0.2,0.2,1.4,1.6,0.01,0.06,0.07,0.01,0.07,Pol Lirola
505,it ITA,DF,36,19,16,"1,443",16.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.3,0.02,0.00,0.02,0.02,0.02,Paolo Cannavaro
506,it ITA,FW,26,20,15,"1,314",14.6,2,1,2,0,0,2,0,0.14,0.07,0.21,0.14,0.21,4.2,4.0,0.4,4.4,0.28,0.03,0.31,0.28,0.30,Diego Falcinelli
507,it ITA,"DF,FW",19,16,14,"1,220",13.6,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,0.8,0.8,1.1,1.9,0.06,0.08,0.14,0.06,0.14,Claud Adjapong
508,it ITA,DF,23,13,13,"1,153",12.8,1,0,1,0,0,5,4,0.08,0.00,0.08,0.08,0.08,0.4,0.4,0.2,0.6,0.03,0.01,0.04,0.03,0.04,Edoardo Goldaniga
509,it ITA,MF,21,17,10,"1,041",11.6,2,0,2,0,0,2,0,0.17,0.00,0.17,0.17,0.17,1.6,1.6,1.2,2.8,0.14,0.11,0.25,0.14,0.25,Stefano Sensi
510,it ITA,MF,21,20,10,"1,017",11.3,0,1,0,0,0,4,0,0.00,0.09,0.09,0.00,0.09,1.2,1.2,0.3,1.5,0.11,0.03,0.13,0.11,0.13,Luca Mazzitelli
