,nationality,position,age,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_assist,npxg_xg_assist,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,player
544,fr FRA,FW,20,3,1,82,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.04,0.03,0.07,0.04,0.07,Gauthier Hein
545,dz ALG,"MF,FW",24,7,0,179,2.0,0,1,0,0,0,0,0,0.00,0.50,0.50,0.00,0.50,0.1,0.1,0.1,0.2,0.04,0.06,0.10,0.04,0.10,Farid Boulaya
546,ar ARG,FW,22,7,0,128,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.5,0.23,0.10,0.32,0.23,0.32,Brian Fernández
547,fr FRA,GK,23,1,0,39,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Quentin Beunardeau
548,lu LUX,MF,17,1,0,27,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Vincent Thill
549,sn SEN,"FW,MF",22,1,0,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Habib Diallo
550,fr FRA,FW,19,1,0,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Lilian Fournier
551,fr FRA,DF,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,Théodore Efouba
552,fr FRA,DF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,Bilal Hadraoui
553,fr FRA,MF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,Youssef Maziz
554,fr FRA,DF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,Vincent Peugnet
555,de GER,DF,28,0,0,,,,,,,,,,,,,,,,,,,,,,,,Philipp Wollscheid
556,fr FRA,GK,26,38,38,"3,420",38.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.00,0.00,0.00,0.00,Benjamin Lecomte
557,tn TUN,MF,22,35,35,"3,049",33.9,4,1,4,0,0,8,0,0.12,0.03,0.15,0.12,0.15,2.3,2.3,1.4,3.7,0.07,0.04,0.11,0.07,0.11,Ellyes Skhiri
558,fr FRA,MF,28,37,34,"3,062",34.0,1,2,1,0,0,10,0,0.03,0.06,0.09,0.03,0.09,1.4,1.4,2.5,3.9,0.04,0.07,0.11,0.04,0.11,Paul Lasne
559,pt POR,DF,26,34,32,"2,855",31.7,1,1,1,0,0,11,0,0.03,0.03,0.06,0.03,0.06,0.6,0.6,0.5,1.2,0.02,0.02,0.04,0.02,0.04,Pedro Mendes
