,Unnamed: 0,Player,Gross P/W(IN GBP),Gross P/Y(IN GBP),Adj. Gross(IN GBP),Pos. DFKM,Age,Country,Team,League,Season
22,23,Jonas Lössl,"£ 28,077","£ 1,460,000","£ 1,460,000",K,31,Denmark,Everton,Premier League,2020-2021
23,24,Tom Davies,"£ 25,000","£ 1,300,000","£ 1,300,000",M,22,England,Everton,Premier League,2020-2021
24,25,Robin Olsen,"£ 15,250","£ 793,000","£ 793,000",K,30,Sweden,Everton,Premier League,2020-2021
25,26,Jonjoe Kenny,"£ 15,000","£ 780,000","£ 780,000",D,23,England,Everton,Premier League,2020-2021
26,27,Matthew Pennington,"£ 12,500","£ 650,000","£ 650,000",D,26,England,Everton,Premier League,2020-2021
27,28,Anthony Gordon,"£ 10,000","£ 520,000","£ 520,000",F,19,England,Everton,Premier League,2020-2021
28,29,Beni Baningime,"£ 8,077","£ 420,000","£ 420,000",M,22,Democratic Republic of the Congo,Everton,Premier League,2020-2021
29,30,João Virgínia,"£ 7,500","£ 390,000","£ 390,000",K,21,Portugal,Everton,Premier League,2020-2021
30,31,Jarrad Branthwaite,"£ 5,500","£ 286,000","£ 286,000",D,18,England,Everton,Premier League,2020-2021
31,32,Niels Nkounkou,"£ 4,500","£ 234,000","£ 234,000",D,19,France,Everton,Premier League,2020-2021
0,1,Ruben Loftus-Cheek,"£ 120,000","£ 6,240,000","£ 6,240,000",M,24,England,Fulham,Premier League,2020-2021
1,2,André Zambo Anguissa,"£ 67,000","£ 3,484,000","£ 3,484,000",M,24,Cameroon,Fulham,Premier League,2020-2021
2,3,Jean Michaël Seri,"£ 65,000","£ 3,380,000","£ 3,380,000",M,29,Cote d'Ivoire,Fulham,Premier League,2020-2021
3,4,Aleksandar Mitrovic,"£ 60,000","£ 3,120,000","£ 3,120,000",F,26,Serbia,Fulham,Premier League,2020-2021
4,5,Alphonse Areola,"£ 55,000","£ 2,860,000","£ 2,860,000",K,27,France,Fulham,Premier League,2020-2021
5,6,Joachim Andersen,"£ 52,000","£ 2,704,000","£ 2,704,000",D,24,Denmark,Fulham,Premier League,2020-2021
6,7,Kenny Tete,"£ 51,000","£ 2,652,000","£ 2,652,000",D,25,Netherlands,Fulham,Premier League,2020-2021
7,8,Ademola Lookman,"£ 49,500","£ 2,574,000","£ 2,574,000",F,23,England,Fulham,Premier League,2020-2021
8,9,Fabri,"£ 45,000","£ 2,340,000","£ 2,340,000",K,32,Spain,Fulham,Premier League,2020-2021
9,10,Tosin Adarabioyo,"£ 40,500","£ 2,106,000","£ 2,106,000",D,23,England,Fulham,Premier League,2020-2021
10,11,Tom Cairney,"£ 40,000","£ 2,080,000","£ 2,080,000",M,29,Scotland,Fulham,Premier League,2020-2021
