,firstName,middleName,lastName,currentTeamId,weight,height,foot,country,cou_code,role,city,name,officialName,wyId
904,Julian,,Pollersbeck,2450,87,195,right,Germany,DE,Goalkeeper,Hamburg,Hamburger SV,Hamburger SV,2450.0
905,Gideon,,Jung,2450,76,189,right,Germany,DE,Defender,Hamburg,Hamburger SV,Hamburger SV,2450.0
906,Weston ,,McKennie,2449,84,185,right,United States,US,Midfielder,Gelsenkirchen,Schalke 04,FC Schalke 04,2449.0
907,Johann,,Obiang,3795,64,170,left,France,FR,Defender,Troyes,Troyes,Espérance Sportive Troyes Aube Champagne,3795.0
908,Flavien,,Tait,3799,70,175,right,France,FR,Midfielder,Angers,Angers,Angers SCO,3799.0
909,Michaël Jordan,,Nkololo,3783,71,183,right,France,FR,Midfielder,Caen,Caen,Stade Malherbe Caen,3783.0
910,Gabriel Fernando,,de Jesus,1625,67,175,right,Brazil,BR,Forward,Manchester,Manchester City,Manchester City FC,1625.0
911,Fakhreddine,,Ben Youssef,16468,82,192,right,Tunisia,TN,Forward,,,,
912,Alejandro,,Robles García,683,68,170,right,Spain,ES,Defender,Malaga,Málaga,Málaga Club de Fútbol,683.0
913,Domenico,,Berardi,3315,72,183,left,Italy,IT,Forward,Sassuolo,Sassuolo,US Sassuolo Calcio,3315.0
914,Reece,,Oxford,2454,78,191,right,England,,Defender,M\u00f6nchengladbach,Borussia M'gladbach,Borussia VfL Mönchengladbach,2454.0
915,Everton Luiz,,Guimaraes Bilher,3204,73,173,right,Brazil,BR,Midfielder,Ferrara,SPAL,Società Polisportiva Ars et Labor 2013,3204.0
916,Alexandre,,Mendy,3772,94,185,right,France,FR,Forward,Le Haillan,Bordeaux,FC Girondins de Bordeaux,3772.0
917,Jamie,,Vardy,1631,76,178,right,England,,Forward,Leicester,Leicester City,Leicester City FC,1631.0
918,Moussa,,Sylla,19830,70,181,right,France,FR,Forward,Monaco,Monaco,AS Monaco FC,19830.0
919,Enzo,,Crivelli,3783,79,184,right,France,FR,Forward,Caen,Caen,Stade Malherbe Caen,3783.0
